[LOAD] No existing BOW features found in data/bow_depth1. Computing from scratch...                   
-> data/toys_games.json.gz already exists. Skipping download.                                         
                                                                                                      
[ENCODE] BOW encoding 317329 documents...                                                             
[ENCODE] BOW done in 15.53s -> matrix (317329, 5000)                                                  
                                                                                                      
[SAVE] BOW matrix: (317329, 5000) -> data/bow_depth1                                                  
[SAVE] Split indices: train=222130, test=95199 -> data/bow_depth1                                     
                                                                                                      
[LOAD] Loading split indices from data/bow_depth1                                                     
                                                                                                      
[TRAINING] Starting MLP training on BOW features using device: cuda                                   
                                                                                                      
[DATA INFO] 18 classes.                                                                               
['Action Figures & Statues' 'Arts & Crafts' 'Baby & Toddler Toys'                                     
 'Building Toys' 'Dolls & Accessories' 'Dress Up & Pretend Play'                                      
 'Electronics for Kids' 'Games' 'Grown-Up Toys' 'Hobbies'                                             
 'Learning & Education' 'Novelty & Gag Toys' 'Party Supplies' 'Puzzles'                               
 'Sports & Outdoor Play' 'Stuffed Animals & Plush'                                                    
 'Toy Remote Control & Play Vehicles' 'Tricycles, Scooters & Wagons']                                 
                                                                                                      
[DATA SPLIT] Train: 222130 samples, Val: 47599 samples, Test: 47600 samples                           

[EPOCH 01] train_loss=2.9119 val_loss=2.6775 val_acc=0.4079 epoch_time=0.03s total=0.03s *            
[EPOCH 02] train_loss=2.6820 val_loss=2.4853 val_acc=0.4419 epoch_time=0.03s total=0.06s *            
[EPOCH 03] train_loss=2.4923 val_loss=2.3112 val_acc=0.4559 epoch_time=0.03s total=0.10s *            
[EPOCH 04] train_loss=2.3218 val_loss=2.1528 val_acc=0.4797 epoch_time=0.03s total=0.13s *            
[EPOCH 05] train_loss=2.1679 val_loss=2.0070 val_acc=0.5115 epoch_time=0.03s total=0.16s *            
[EPOCH 06] train_loss=2.0258 val_loss=1.8713 val_acc=0.5474 epoch_time=0.03s total=0.19s *            
[EPOCH 07] train_loss=1.8930 val_loss=1.7484 val_acc=0.5795 epoch_time=0.03s total=0.22s *            
[EPOCH 08] train_loss=1.7735 val_loss=1.6429 val_acc=0.6046 epoch_time=0.03s total=0.25s *            
[EPOCH 09] train_loss=1.6704 val_loss=1.5564 val_acc=0.6261 epoch_time=0.03s total=0.28s *            
[EPOCH 10] train_loss=1.5862 val_loss=1.4873 val_acc=0.6391 epoch_time=0.03s total=0.31s *            
[EPOCH 11] train_loss=1.5189 val_loss=1.4329 val_acc=0.6480 epoch_time=0.03s total=0.34s *            
[EPOCH 12] train_loss=1.4681 val_loss=1.3905 val_acc=0.6532 epoch_time=0.03s total=0.37s *            
[EPOCH 13] train_loss=1.4274 val_loss=1.3587 val_acc=0.6573 epoch_time=0.03s total=0.40s *            
[EPOCH 14] train_loss=1.3972 val_loss=1.3357 val_acc=0.6596 epoch_time=0.03s total=0.43s *            
[EPOCH 15] train_loss=1.3765 val_loss=1.3174 val_acc=0.6615 epoch_time=0.03s total=0.46s *            
[EPOCH 16] train_loss=1.3591 val_loss=1.3005 val_acc=0.6621 epoch_time=0.03s total=0.49s *            
[EPOCH 17] train_loss=1.3428 val_loss=1.2838 val_acc=0.6639 epoch_time=0.03s total=0.52s *            
[EPOCH 18] train_loss=1.3270 val_loss=1.2678 val_acc=0.6669 epoch_time=0.03s total=0.55s *            
