[LOAD] No existing Qwen features found in data/qwen_depth1. Computing from scratch...                 
-> data/toys_games.json.gz already exists. Skipping download.                                         
Loading weights: 100%|█████████████████████████████████████████████| 310/310 [00:00<00:00, 990.46it/s]
                                                                                                      
[ENCODE] Qwen encoding 317329 documents...                                                            
Batches:  63%|███████████████████████████████▎                  | 6213/9917 [1:32:05<21:51,  2.82it/s]
Batches: 100%|██████████████████████████████████████████████████| 9917/9917 [1:47:09<00:00,  1.54it/s]
[ENCODE] Qwen done in 6435.84s -> matrix (317329, 1024)                                               
                                                                                                      
[SAVE] Qwen matrix: (317329, 1024) -> data/qwen_depth1                                                
[SAVE] Split indices: train=222130, test=95199 -> data/qwen_depth1                                    
                                                                                                      
[LOAD] Loading split indices from data/qwen_depth1                                                    
                                                                                                      
[TRAINING] Starting MLP training on QWEN features using device: cuda                                  
                                                                                                      
[DATA INFO] 18 classes.                                                                               
['Action Figures & Statues' 'Arts & Crafts' 'Baby & Toddler Toys'                                     
 'Building Toys' 'Dolls & Accessories' 'Dress Up & Pretend Play'                                      
 'Electronics for Kids' 'Games' 'Grown-Up Toys' 'Hobbies'                                             
 'Learning & Education' 'Novelty & Gag Toys' 'Party Supplies' 'Puzzles'                               
 'Sports & Outdoor Play' 'Stuffed Animals & Plush'                                                    
 'Toy Remote Control & Play Vehicles' 'Tricycles, Scooters & Wagons']                                 
                                                                                                      
[DATA SPLIT] Train: 222130 samples, Val: 47599 samples, Test: 47600 samples        

[EPOCH 01] train_loss=2.8896 val_loss=2.8229 val_acc=0.1654 epoch_time=0.03s total=0.03s *            
[EPOCH 02] train_loss=2.8232 val_loss=2.7547 val_acc=0.2279 epoch_time=0.03s total=0.06s *            
[EPOCH 03] train_loss=2.7551 val_loss=2.6787 val_acc=0.2556 epoch_time=0.03s total=0.10s *            
[EPOCH 04] train_loss=2.6794 val_loss=2.6002 val_acc=0.2743 epoch_time=0.03s total=0.13s *            
[EPOCH 05] train_loss=2.6018 val_loss=2.5305 val_acc=0.2793 epoch_time=0.03s total=0.16s *
[EPOCH 06] train_loss=2.5335 val_loss=2.4774 val_acc=0.2768 epoch_time=0.03s total=0.19s *            
[EPOCH 07] train_loss=2.4821 val_loss=2.4303 val_acc=0.2782 epoch_time=0.03s total=0.22s *            
[EPOCH 08] train_loss=2.4363 val_loss=2.3696 val_acc=0.2932 epoch_time=0.03s total=0.25s *            
[EPOCH 09] train_loss=2.3773 val_loss=2.2916 val_acc=0.3268 epoch_time=0.03s total=0.28s *            
[EPOCH 10] train_loss=2.3004 val_loss=2.2051 val_acc=0.3783 epoch_time=0.03s total=0.31s *            
[EPOCH 11] train_loss=2.2145 val_loss=2.1192 val_acc=0.4611 epoch_time=0.03s total=0.34s *            
[EPOCH 12] train_loss=2.1304 val_loss=2.0372 val_acc=0.5426 epoch_time=0.03s total=0.37s *            
[EPOCH 13] train_loss=2.0495 val_loss=1.9570 val_acc=0.5933 epoch_time=0.03s total=0.40s *            
[EPOCH 14] train_loss=1.9721 val_loss=1.8752 val_acc=0.6171 epoch_time=0.03s total=0.43s *            
[EPOCH 15] train_loss=1.8924 val_loss=1.7901 val_acc=0.6309 epoch_time=0.03s total=0.46s *            
[EPOCH 16] train_loss=1.8101 val_loss=1.7027 val_acc=0.6389 epoch_time=0.03s total=0.49s *            
