[LOAD] No existing SBERT features found in data/sbert_depth1. Computing from scratch...               
-> data/toys_games.json.gz already exists. Skipping download.                                         
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable highe
r rate limits and faster downloads.                                                                   
Loading weights: 100%|████████████████████████████████████████████| 103/103 [00:00<00:00, 3744.49it/s]
                                                                                                      
[ENCODE] SBERT encoding 317329 documents...                                                           
Batches: 100%|████████████████████████████████████████████████████| 1240/1240 [04:28<00:00,  4.61it/s]
[ENCODE] SBERT done in 270.75s -> matrix (317329, 384)                                                
                                                                                                      
[SAVE] SBERT matrix: (317329, 384) -> data/sbert_depth1                                               
[SAVE] Split indices: train=222130, test=95199 -> data/sbert_depth1                                   
                                                                                                      
[LOAD] Loading split indices from data/sbert_depth1                                                   
                                                                                                      
[TRAINING] Starting MLP training on SBERT features using device: cuda                                 
                                                                                                      
[DATA INFO] 18 classes.                                                                               
['Action Figures & Statues' 'Arts & Crafts' 'Baby & Toddler Toys'                                     
 'Building Toys' 'Dolls & Accessories' 'Dress Up & Pretend Play'                                      
 'Electronics for Kids' 'Games' 'Grown-Up Toys' 'Hobbies'                                             
 'Learning & Education' 'Novelty & Gag Toys' 'Party Supplies' 'Puzzles'                               
 'Sports & Outdoor Play' 'Stuffed Animals & Plush'                                                    
 'Toy Remote Control & Play Vehicles' 'Tricycles, Scooters & Wagons']                                 
                                                                                                      
[DATA SPLIT] Train: 222130 samples, Val: 47599 samples, Test: 47600 samples 

[EPOCH 01] train_loss=2.8925 val_loss=2.7868 val_acc=0.3029 epoch_time=0.04s total=0.04s *            
[EPOCH 02] train_loss=2.7871 val_loss=2.6406 val_acc=0.2973 epoch_time=0.04s total=0.07s *            
[EPOCH 03] train_loss=2.6419 val_loss=2.4935 val_acc=0.2847 epoch_time=0.04s total=0.11s *            
[EPOCH 04] train_loss=2.4974 val_loss=2.3950 val_acc=0.2931 epoch_time=0.04s total=0.14s *            
[EPOCH 05] train_loss=2.4018 val_loss=2.2780 val_acc=0.3547 epoch_time=0.04s total=0.18s *            
[EPOCH 06] train_loss=2.2882 val_loss=2.1328 val_acc=0.4189 epoch_time=0.04s total=0.21s *            
[EPOCH 07] train_loss=2.1453 val_loss=1.9991 val_acc=0.4742 epoch_time=0.03s total=0.25s *            
[EPOCH 08] train_loss=2.0131 val_loss=1.8898 val_acc=0.5179 epoch_time=0.03s total=0.28s *            
[EPOCH 09] train_loss=1.9069 val_loss=1.7941 val_acc=0.5457 epoch_time=0.04s total=0.32s *            
[EPOCH 10] train_loss=1.8141 val_loss=1.7030 val_acc=0.5613 epoch_time=0.04s total=0.35s *            
[EPOCH 11] train_loss=1.7262 val_loss=1.6190 val_acc=0.5719 epoch_time=0.04s total=0.39s *            
[EPOCH 12] train_loss=1.6463 val_loss=1.5485 val_acc=0.5780 epoch_time=0.04s total=0.43s *            
[EPOCH 13] train_loss=1.5795 val_loss=1.4904 val_acc=0.5859 epoch_time=0.03s total=0.46s *            
[EPOCH 14] train_loss=1.5252 val_loss=1.4380 val_acc=0.5957 epoch_time=0.04s total=0.50s *            
[EPOCH 15] train_loss=1.4777 val_loss=1.3898 val_acc=0.6074 epoch_time=0.04s total=0.53s *            
[EPOCH 16] train_loss=1.4338 val_loss=1.3490 val_acc=0.6176 epoch_time=0.04s total=0.57s *            
