[LOAD] No existing TF-IDF features found in data/tfidf_depth1. Computing from scratch...              
-> data/toys_games.json.gz already exists. Skipping download.                                         
                                                                                                      
[ENCODE] TF-IDF encoding 317329 documents...                                                          
[ENCODE] TF-IDF done in 15.61s -> matrix (317329, 5000)                                               
                                                                                                      
[SAVE] TF-IDF matrix: (317329, 5000) -> data/tfidf_depth1                                             
[SAVE] Split indices: train=222130, test=95199 -> data/tfidf_depth1                                   
                                                                                                      
[LOAD] Loading split indices from data/tfidf_depth1                                                   
                                                                                                      
[TRAINING] Starting MLP training on TF-IDF features using device: cuda                                
                                                                                                      
[DATA INFO] 18 classes.                                                                               
['Action Figures & Statues' 'Arts & Crafts' 'Baby & Toddler Toys'                                     
 'Building Toys' 'Dolls & Accessories' 'Dress Up & Pretend Play'                                      
 'Electronics for Kids' 'Games' 'Grown-Up Toys' 'Hobbies'                                             
 'Learning & Education' 'Novelty & Gag Toys' 'Party Supplies' 'Puzzles'                               
 'Sports & Outdoor Play' 'Stuffed Animals & Plush'                                                    
 'Toy Remote Control & Play Vehicles' 'Tricycles, Scooters & Wagons']                                 
                                                                                                      
[DATA SPLIT] Train: 222130 samples, Val: 47599 samples, Test: 47600 samples                           

[EPOCH 01] train_loss=2.8995 val_loss=2.8467 val_acc=0.1538 epoch_time=0.96s total=0.96s *            
[EPOCH 02] train_loss=2.8470 val_loss=2.7950 val_acc=0.1991 epoch_time=0.03s total=0.99s *            
[EPOCH 03] train_loss=2.7953 val_loss=2.7390 val_acc=0.2187 epoch_time=0.03s total=1.02s *            
[EPOCH 04] train_loss=2.7395 val_loss=2.6803 val_acc=0.2294 epoch_time=0.03s total=1.06s *            
[EPOCH 05] train_loss=2.6813 val_loss=2.6243 val_acc=0.2408 epoch_time=0.03s total=1.09s *            
[EPOCH 06] train_loss=2.6260 val_loss=2.5771 val_acc=0.2809 epoch_time=0.03s total=1.12s *            
[EPOCH 07] train_loss=2.5793 val_loss=2.5412 val_acc=0.3440 epoch_time=0.03s total=1.15s *            
[EPOCH 08] train_loss=2.5445 val_loss=2.5091 val_acc=0.3190 epoch_time=0.03s total=1.18s *            
[EPOCH 09] train_loss=2.5136 val_loss=2.4706 val_acc=0.2730 epoch_time=0.03s total=1.21s *            
[EPOCH 10] train_loss=2.4758 val_loss=2.4227 val_acc=0.2525 epoch_time=0.03s total=1.24s *            
[EPOCH 11] train_loss=2.4285 val_loss=2.3682 val_acc=0.2532 epoch_time=0.03s total=1.27s *            
[EPOCH 12] train_loss=2.3743 val_loss=2.3118 val_acc=0.2743 epoch_time=0.03s total=1.30s *            
[EPOCH 13] train_loss=2.3186 val_loss=2.2555 val_acc=0.3241 epoch_time=0.03s total=1.33s *            
[EPOCH 14] train_loss=2.2619 val_loss=2.1989 val_acc=0.3933 epoch_time=0.03s total=1.36s *            
[EPOCH 15] train_loss=2.2060 val_loss=2.1402 val_acc=0.4635 epoch_time=0.03s total=1.39s *            
[EPOCH 16] train_loss=2.1484 val_loss=2.0777 val_acc=0.5201 epoch_time=0.03s total=1.42s *            
[EPOCH 17] train_loss=2.0867 val_loss=2.0112 val_acc=0.5579 epoch_time=0.03s total=1.45s *            
[EPOCH 18] train_loss=2.0222 val_loss=1.9421 val_acc=0.5778 epoch_time=0.03s total=1.48s *            
